🔵 DB Name (A),🟢 Category (B),🟡 Correct Product Name (C),🟡 Brand (D),🟢 VAT% (E),🟢 Base Unit (F),🟢 Base Cost KES (G),🟢 Base Sell KES (H),🟢 Base Stock (I),🟡 Barcode (J),🟢 L1 Pack Name (K),🟠 L1 Qty in Base (L),🟢 L1 Cost KES (M),🟢 L1 Sell KES (N),🟢 L1 Stock (O),🟢 L2 Pack Name (P),🟠 L2 Qty in L1 (Q),🟢 L2 Cost KES (R),🟢 L2 Sell KES (S),🟢 L2 Stock (T),🟡 Reorder Point (U),🟡 Lead Time Days (V),System Notes (W — do not edit)
DHEGAYARE PIMA,Other - General Merchandise,,,0,Kilogram (0.5kg),500,600,14.1,,Half Roll Bundle,,125,200,56.6,,,,,,,,
DHUXUL UNSI  OUT,Incense & Fragrance,,,16,Carton,10240,12000,5,,Outer,,320,350,160,Carton,,10240,12000,5,,,
Diana Baby Lotion 500ml,Personal Care - Skin Care,,,16,Piece,200,350,0,,,,,,,,,,,,,,
Dinar Fruit Juice 200ml,Beverages - Juice & Drinks,,,16,Box,600,850,0,,Box,,600,850,0,,,,,,,,
DIRHAM PARFUM,Other - General Merchandise,,,16,Piece,1000,1200,0,,,,,,,,,,,,,,
DIRIA 500G,Other - General Merchandise,,,16,Carton,1550,2000,0,,,,,,,Carton,,1550,2000,0,,,
DISCOUNT,Other - Discount,,,16,Piece,1,1,0,,,,,,,,,,,,,,
DISH WASH 1LITR,Cleaning - Dishwashing,,,16,Piece,130,400,38,,,,,,,,,,,,,,
DOFI WHITE 10KG  SB3,Other - General Merchandise,,,16,Bag,1030,1200,175,,,,,,,Bag,,1030,1200,175,,,
DOFI WHITE 10KG STT,Other - General Merchandise,,,16,Kilogram,105,150,211,,,,,,,Bag,,1050,1500,21.1,,,
DOGA SP,Other - General Merchandise,,,16,Kilogram (1kg),165,165,0,,,,,,,Carton,,1650,1650,0,,,
DORIVA JUMBO 75,Other - General Merchandise,,,16,Piece,500,583,0,,,,,,,Carton,,3000,3500,0,,,
Dove Beauty Bar Soap,Personal Care - Soap,,,16,Piece,85,150,0,,,,,,,Carton,,4800,7000,11.6,,,
Dove Body Lotion 400ml,Personal Care - Skin Care,,,16,Piece,380,550,11,,Box,,4560,6500,0.9,,,,,,,,
Dove Shampoo 400ml,Personal Care - Hair Care,,,16,Piece,380,500,61,,Box,,4560,10000,5.1,,,,,,,,
DOVE SHOWER GEL 500ML,Personal Care - Shower Gel,,,16,Piece,380,500,42,,,,,,,Carton,,4560,6000,3.5,,,
DOWNY 880ML STT,Cleaning - Fabric Softener,,,16,Piece,597,711,0,,,,,,,Carton,,5373,6400,0,,,
Downy Lavender Fabric Softener 900Ml,Cleaning - Fabric Softener,,,16,Piece,597,667,490,,,,,,,Carton,,7165,8000,40.8,,,
Drinking Chocolate Sachet 20g,Beverages - Soda,,,16,Carton,1400,2000,0,,Outer,,140,200,0,Carton,,1400,2000,0,,,
DUNIA UGALI 1KG SP3,Staples - Flour & Ugali,,,16,Bale,1600,2900,0,,,,,,,Bale,,1600,2900,0,,,
DUNIA UGALI 1KG STT,Staples - Flour & Ugali,,,16,Bag,1560,1700,0,,,,,,,Bag,,1560,1700,0,,,
E R M 2.5-STT,Staples - Flour & Ugali,,,16,Piece,1617,1833,0,,,,,,,Carton,,9700,11000,0,,,
E R M6*2.5KG,Staples - Flour & Ugali,,,16,Jerry Can,3620,2100,0,,,,,,,Jerry Can,6,3620,2100,0,,,"Name contains ""6*2.5KG"" — suggests 6 units per pack — pre-filled as L2 qty"
E T C TRUFFES BIG,Other - General Merchandise,,,16,Box,450,480,0,,Box,,450,480,0,,,,,,,,
E T C TRUFFES BIG 6*175,Other - General Merchandise,,,16,Piece,717,767,0,,,,,,,Carton,,4300,4600,0,,,
EBM Peek Freans Sooper Biscuits 112g,Snacks - Biscuits & Cookies,,,16,Piece,66,100,364,,,,,,,Carton,,6300,8000,3.8,,,
ECLAIRS LOLIPOPS 100PES,Snacks - Candy & Sweets,,,16,Piece,280,450,0,,,,,,,,,,,,,,
Ecoforest Drinking Water 500ml,Beverages - Water,,,16,Piece,310,500,0,,,,,,,,,,,,,,
EKICIN YUMIS 300G,Other - General Merchandise,,,16,Piece,130,250,0,,,,,,,,,,,,,,
Elbbin Shapies Choco Hoops 350G,Snacks - Chocolate,,,0,Piece,388,500,0,,,,,,,Carton,,3880,5000,0,,,
Elbbin Shapies Pillows Cereal 500g,Breakfast - Cereals,,,0,Piece,452,1200,0,,,,,,,Carton,,4520,15000,0,,,
ELIANTO 10LITER-STT,Cooking Oil,,,16,Jerry Can,2850,3500,0,,,,,,,Jerry Can,,2850,3500,0,,,
ELIANTO 20 LTR-STT,Cooking Oil,,,16,Jerry Can,5161,5500,0,,,,,,,Jerry Can,,5161,5500,0,,,
ELIANTO 3LITER,Cooking Oil,,,16,Piece,865,900,0,,,,,,,,,,,,,,
ELIANTO 4*5LTR-STT,Cooking Oil,,,16,Piece,2300,5500,7,,,,,,,Carton,4,9200,22000,1.8,,,"Name contains ""4*5L"" — suggests 4 units per pack — pre-filled as L2 qty"
ELIANTO 5 LTR SB3,Cooking Oil,,,16,Carton,8800,10000,5,,,,,,,Carton,,8800,10000,5,,,
ELIANTO 6*3LTR-STT,Cooking Oil,,,16,Piece,958,1500,0,,,,,,,Carton,6,5750,6000,0,,,"Name contains ""6*3L"" — suggests 6 units per pack — pre-filled as L2 qty"
ERNET COOKER CLEANER,Other - General Merchandise,,,16,Piece,220,400,0,,,,,,,,,,,,,,
ERNET JEL LAVABO 1LTR,Other - General Merchandise,,,16,Piece,200,300,0,,,,,,,,,,,,,,
ERNET WOOD AHSAP 1LTR,Other - General Merchandise,,,16,Piece,200,300,0,,,,,,,,,,,,,,
Esra Toilet Tissue 18 Pack,Cleaning - Toilet & Bathroom,,,16,Carton,1050,1500,0,,,,,,,Carton,,1050,1500,0,,,
Esra Tomato Paste 50g,Tomato Paste & Sauce,,,16,Carton,800,1500,5.3,,Outer,,200,375,21,Carton,,800,1500,5.3,,,
Eva Peanut Butter,Cooking - Fats & Margarine,,,16,Piece,250,400,0,,,,,,,,,,,,,,
Eve Bar Soap 250g,Personal Care - Soap,,,16,Piece,44,62,0,,Box,,1050,1500,0,,,,,,,,
EVER RICE 25KG,Staples - Rice,,,16,Bag,2650,3000,0,,,,,,,Bag,,2650,3000,0,,,
EXCEL GLUCOUSE,Other - General Merchandise,,,16,Piece,150,180,0,,,,,,,,,,,,,,
Excel Pure Glucose Powder 100g,Other - General Merchandise,,,16,Piece,120,240,0,,,,,,,,,,,,,,
EXCHANGE PERFUN,Other - General Merchandise,,,16,Piece,1100,1500,0,,,,,,,,,,,,,,
EXECUTIVE CHILI 24*240G,Condiments - Spices & Chili,,,16,Piece,28,850,0,,,,,,,Carton,24,670,850,0,,,"Name contains ""24*240G"" — suggests 24 units per pack — pre-filled as L2 qty"
EXECUTIVE CHILI 5LTR,Condiments - Spices & Chili,,,16,Piece,230,280,0,,,,,,,Carton,,920,1000,0,,,
Executive Tomato Paste 5L,Tomato Paste & Sauce,,,16,Piece,220,238,0,,,,,,,Carton,,880,950,0,,,
Ezee Tomato Paste 800g,Tomato Paste & Sauce,,,16,Piece,325,400,14,,,,,,,Carton,,1950,2250,2.3,,,
F SH M,Other - General Merchandise,,,0,Piece,2583,3000,21,,,,,,,Carton,,15500,18000,3.5,,,
FA SOUP STT,Condiments - Soup & Stock,,,16,Piece,58,80,0,,Dozen (12),,700,800,0,Carton,,4200,4500,0,,,
FA SPRAY BODY,Other - General Merchandise,,,16,Piece,150,350,0,,,,,,,,,,,,,,
FACE SCRUB 500ML,Personal Care - Skin Care,,,16,Piece,200,550,0,,,,,,,,,,,,,,
FAHARI 500G SB3,Staples - Flour & Ugali,,,16,Box,3915,4850,0,,Box,,3915,4850,0,,,,,,,,
Fahari Tea,Beverages - Tea,,,16,Piece,200,240,526,,,,,,,Carton,,3999,4800,26.3,,,
Fahari Tea 250g,Beverages - Tea,,,16,Piece,100,150,388,,,,,,,Carton,,4000,4500,9.7,,,
Fahari Tea 50g,Beverages - Tea,,,16,Carton,3600,4500,4.5,,Outer,,180,250,91,Carton,,3600,4500,4.5,,,
Famila Pure Wimbi Porridge 1Kg,Breakfast - Cereals,,,0,Piece,200,250,29,,,,,,,Carton,,2000,2200,2.9,,,
FAMILA UJI 6*2KG,Breakfast - Cereals,,,0,Piece,367,500,62,,,,,,,Carton,6,2200,3000,10.3,,,"Name contains ""6*2KG"" — suggests 6 units per pack — pre-filled as L2 qty"
FAMILY DOM24P,Cleaning - Dishwashing,,,16,Piece,188,250,500,,,,,,,Carton,,4500,6000,20.8,,,
FAMILY SHAMPOO 1380ML,Personal Care - Hair Care,,,16,Piece,190,250,174,,Half Carton,,2280,2350,14.5,Carton,,4560,4650,7.3,,,
FANAAR RICE5KG,Staples - Rice,,,16,Kilogram (5kg),875,1000,0,,,,,,,Carton,,3500,3700,0,,,
FANANA SOUP 800G-STT,Condiments - Soup & Stock,,,16,Piece,94,100,0,,,,,,,Carton,,2350,2500,0,,,
Fanta Orange Soda 350Ml,Beverages - Soda,,,16,Box,970,1050,81.5,,Box,,970,1050,81.5,,,,,,,,
FANTA TIN 6*330,Beverages - Soda,,,16,Outer,350,500,0,,Outer,,350,500,0,,,,,,,,
FARAGELLO HONEY BIG-STT,Condiments - Honey & Spreads,,,16,Piece,867,900,2,,,,,,,Carton,,5200,6000,0.3,,,
FARAGELLO HONEY SMOLL-STT,Condiments - Honey & Spreads,,,16,Piece,433,300,181,,,,,,,Carton,,5200,6000,15.1,,,
FARAGELO HONEY 80*30G,Condiments - Honey & Spreads,,,16,Carton,1700,2000,10,,,,,,,Carton,80,1700,2000,10,,,"Name contains ""80*30G"" — suggests 80 units per pack — pre-filled as L2 qty"
Faragelo Tomato Paste 50g,Tomato Paste & Sauce,,,16,Carton,1330,1500,85,,Outer,,332,400,340,Carton,,1330,1500,85,,,
Faragelo Tomato Paste 800g,Tomato Paste & Sauce,,,16,Piece,158,192,0,,,,,,,Carton,,1900,2300,0,,,
FARASI RICE 25KG,Staples - Rice,,,16,Bag,2066,2800,0,,,,,,,Bag,,2066,2800,0,,,
FARINA NGANO 12*2KG SB3,Staples - Flour & Ugali,,,16,Bale,2140,2400,0,,,,,,,Bale,12,2140,2400,0,,,"Name contains ""12*2KG"" — suggests 12 units per pack — pre-filled as L2 qty"
FARINA NGANO 12*2KG STT,Staples - Flour & Ugali,,,16,Bale,2120,2450,0,,,,,,,Bale,12,2120,2450,0,,,"Name contains ""12*2KG"" — suggests 12 units per pack — pre-filled as L2 qty"
FARINA NGANO 24*1KG SB3,Staples - Flour & Ugali,,,16,Bale,2150,2600,0,,,,,,,Bale,24,2150,2600,0,,,"Name contains ""24*1KG"" — suggests 24 units per pack — pre-filled as L2 qty"
FARINA NGANO 24*1KG STT,Staples - Flour & Ugali,,,16,Bale,2150,2500,0,,,,,,,Bale,24,2150,2500,0,,,"Name contains ""24*1KG"" — suggests 24 units per pack — pre-filled as L2 qty"
FASCLEAN 5KG,Other - General Merchandise,,,16,Piece,1100,1500,68,,,,,,,Bag,,2200,3000,34,,,
FAST HONEY 400G STT,Condiments - Honey & Spreads,,,16,Piece,300,500,0,,,,,,,,,,,,,,
FAST MASALA,Other - Groceries,,,0,Piece,200,500,33,,,,,,,,,,,,,,
Fatma Long Grain Rice 10Kg,Staples - Rice,,,0,Kilogram (10kg),2725,2800,43,,,,,,,Bag,,10900,11500,10.8,,,
Feah Coconut Hair Oil 200Ml,Snacks - Nuts,,,16,Piece,240,350,0,,,,,,,,,,,,,,
FESTIVAL TOFFEE 500GM,Snacks - Candy & Sweets,,,16,Piece,220,300,0,,,,,,,,,,,,,,
Festive Milky White Bread 1.5Kg,Bread,,,16,Piece,500,700,0,,Packet,,1010,1100,0,Carton,,13700,15000,0,,,
FILFIL PILIPILI MANAGA,Other - General Merchandise,,,0,Kilogram (1kg),500,900,0,,Half Roll Bundle,,62,450,0,,,,,,,,
FINES BIRYANI SB3,Other - General Merchandise,,,16,Bag,2320,2700,0,,,,,,,Bag,,2320,2700,0,,,
First Cup Tea 250g,Beverages - Tea,,,16,Kilogram (0.5kg),160,250,0,,Roll Bundle,,80,120,0,,,,,,,,
FIRST RICE 10KG,Staples - Rice,,,16,Bag,8500,10000,0,,Outer,,2125,2500,0,Bag,,8500,10000,0,,,
FIRST TOMTO 400GM,Tomato Paste & Sauce,,,16,Carton,1450,1550,0,,,,,,,Carton,,1450,1550,0,,,
FIVE STAR CABIR,Other - General Merchandise,,,16,Piece,40,60,0,,,,,,,,,,,,,,
FIVE STAR OIL 250ML,Cooking Oil,,,16,Piece,267,300,0,,,,,,,Carton,,3200,3000,0,,,
FIVE STAR OLIVE OIL 12*1LT,Cooking Oil,,,16,Piece,783,900,0,,,,,,,Carton,12,9400,9500,0,,,"Name contains ""12*1L"" — suggests 12 units per pack — pre-filled as L2 qty"
Five Star Tomato Paste 300g,Tomato Paste & Sauce,,,16,Piece,83,120,0,,,,,,,Carton,,1000,1100,0,,,
FIVE STARE OILVE  12*500ML,Cooking Oil,,,16,Piece,442,500,0,,Box,12,5300,5600,0,,,,,,,,"Name contains ""12*500ML"" — suggests 12 units per pack — pre-filled as L1 qty"
FLORA SOLUTION 5LITER,Other - General Merchandise,,,16,Piece,1375,4800,0,,,,,,,Carton,,5500,6000,0,,,
FLORA SUNFLOWER*6*3L STT,Cooking Oil,,,16,Piece,833,750,0,,,,,,,Carton,6,5000,5800,0,,,"Name contains ""6*3L"" — suggests 6 units per pack — pre-filled as L2 qty"
FLY ROLL CAKE 6*24,Snacks - Cakes & Donuts,,,16,Box,3301,5000,3.3,,Box,,3301,5000,3.3,,,,,,,,
FLYING SNACK RING,Other - General Merchandise,,,16,Carton,390,450,0,,,,,,,Carton,,390,450,0,,,
FOSTER CLARKS 10*20G-STT,Condiments - Soup & Stock,,,16,Piece,598,800,192,,,,,,,Carton,10,5982,8000,19.2,,,"Name contains ""10*20G"" — suggests 10 units per pack — pre-filled as L2 qty"
Foster Fruit Juice Powder 30g,Beverages - Juice & Drinks,,,16,Piece,1250,1500,58,,Outer,,249,320,0,Carton,,7500,9000,9.7,,,
FOUL MEDAMMES 24*397G,Other - General Merchandise,,,16,Piece,150,280,0,,,,,,,Carton,24,3600,6720,0,,,"Name contains ""24*397G"" — suggests 24 units per pack — pre-filled as L2 qty"
FQ HAIR SHAMPOO,Personal Care - Hair Care,,,16,Piece,500,900,6,,,,,,,,,,,,,,
FQ TREATMENT,Personal Care - Hair Care,,,16,Piece,500,900,6,,,,,,,,,,,,,,
FRESCO CHOCOLATE SYRUB 12*22,Beverages - Soda,,,16,Piece,384,292,0,,,,,,,Carton,,4611,3500,0,,,
FRESH DROPS 100PCS,Sweets,,,16,Outer,80,150,0,,Outer,100,80,150,0,,,,,,,,"Name contains ""100PCS"" — suggests 100 units per pack — pre-filled as L1 qty"
Fresh Fri Vegetable Cooking Oil 20L,Cooking Oil,,,16,Piece,2400,2520,0,,,,,,,,,,,,,,
Fresh Fry Vegetable Cooking Oil,Cooking Oil,,,16,Piece,2800,2950,0,,,,,,,Carton,,3050,3500,0,,,
Fresh Fry Vegetable Cooking Oil 3L,Cooking Oil,,,16,Piece,650,1067,0,,,,,,,Carton,,3900,6400,0,,,
Fresh Fry Vegetable Cooking Oil 5L,Cooking Oil,,,16,Piece,1087,1500,0,,,,,,,Carton,,4347,4500,0,,,
FRESH GUM 12*50,Snacks - Candy & Sweets,,,16,Carton,1900,2400,0,,Outer,,158,200,0,Carton,,1900,2400,0,,,
FRESH GUM 20*25P-STT,Snacks - Candy & Sweets,,,16,Piece,115,2000,1,,,,,,,Carton,25,2300,24000,0.1,,,"Name contains ""*25P"" — suggests 25 units per pack — pre-filled as L2 qty"
FRESH JUICE 4*5LTR,Beverages - Juice & Drinks,,,16,Piece,400,550,0,,Box,4,1600,2200,0,,,,,,,,"Name contains ""4*5L"" — suggests 4 units per pack — pre-filled as L1 qty"
FRESH ROOM 300ML,Household - Air Freshener,,,16,Piece,250,500,0,,,,,,,,,,,,,,
Fresh White Bar Soap 800g,Personal Care - Soap,,,16,Piece,128,200,2,,,,,,,Carton,,3200,3500,0.1,,,
Fruit Dale Mango Milk Juice 500Ml,Beverages - Juice & Drinks,,,16,Box,500,600,0,,Box,,500,600,0,,,,,,,,
FRUIT DROP- 30*75 STT,Snacks - Candy & Sweets,,,16,Piece,57,47,0,,,,,,,Carton,,1725,1400,0,,,
FRUIT DROPS 75PC,Snacks - Candy & Sweets,,,16,Piece,40,100,0,,,,,,,,,,,,,,
Fruitville Peach Pear Juice 500Ml,Beverages - Juice & Drinks,,,16,Carton,670,800,5,,,,,,,Carton,,670,800,5,,,
FRUTELLA KEK,Snacks - Candy & Sweets,,,16,Piece,250,350,0,,,,,,,,,,,,,,
FRUTELLA KEK-STT,Snacks - Candy & Sweets,,,16,Carton,1500,2000,0,,,,,,,Carton,,1500,2000,0,,,
Frutz Fruit Juice 300ml,Beverages - Juice & Drinks,,,16,Carton,780,800,51,,,,,,,Carton,,780,800,51,,,
FUN FRESH CHILLI 5LITER,Condiments - Spices & Chili,,,16,Carton,850,950,0,,,,,,,Carton,,850,950,0,,,
Fun Fresh Tomato Paste 5L,Tomato Paste & Sauce,,,16,Piece,182,250,0,,,,,,,Carton,,730,900,0,,,
Fzami Long Grain Rice 25Kg,Staples - Rice,,,0,Bag,3020,5000,0,,,,,,,Bag,,3020,5000,0,,,
G-SOLID GLYCIRINE 250ML RED,Other - General Merchandise,,,16,Piece,325,13000,0,,,,,,,Carton,,23400,25000,0,,,
GARAWO SP 500G SB3,Staples - Pasta & Noodles,,,16,Carton,1580,1700,0,,,,,,,Carton,,1580,1700,0,,,
Garlic Masala Spice,Condiments - Spices & Chili,,,0,Piece,140,250,57,,,,,,,,,,,,,,
GATSBY TRETMANT HAIR CREAM 125,Dairy - Cream & Whipping,,,16,Piece,110,250,0,,,,,,,,,,,,,,
GATSBY TRETMANT HAIR CREAM 250M,Dairy - Cream & Whipping,,,16,Piece,185,300,0,,,,,,,,,,,,,,
GE OIL 12*500M,Cooking Oil,,,16,Piece,195,250,0,,,,,,,Carton,,2340,3500,0,,,
GE OIL 24/250M,Cooking Oil,,,16,Piece,95,3000,0,,,,,,,Carton,24,2280,72000,0,,,"Name contains ""24/250"" — suggests 24 units per pack — pre-filled as L2 qty"
GE OIL 250ML,Cooking Oil,,,16,Piece,100,250,0,,,,,,,,,,,,,,
Geisha Bar Soap 90g,Personal Care - Soap,,,16,Piece,43,1700,1184,,,,,,,Carton,,1544,61200,32.9,,,
GEISHA SHOAP 24*200GM-STT,Cleaning - Bleach & Disinfectant,,,16,Piece,94,154,421,,,,,,,Carton,24,2265,3700,17.5,,,"Name contains ""24*200G"" — suggests 24 units per pack — pre-filled as L2 qty"
GENESIS ADULT 10PCS L,Baby Care - Diapers,,,16,Piece,850,1000,4,,,,,,,,,,,,,,
GENESIS ADULT 10PCS XL,Baby Care - Diapers,,,16,Piece,850,1000,0,,,,,,,,,,,,,,
GENTEL JOY TISSU,Household - Paper Products,,,16,Bale,900,1050,0,,,,,,,Bale,,900,1050,0,,,
GIL BLUE 11 PLUS,Other - General Merchandise,,,16,Dozen (12),454,650,0,,Dozen (12),,454,650,0,,,,,,,,
GILLETTE 2 DISPOSEBLES,Other - General Merchandise,,,16,Dozen (12),815,1000,0,,Dozen (12),,815,1000,0,,,,,,,,
Ginger Masala Spice,Condiments - Spices & Chili,,,0,Piece,140,200,58,,,,,,,,,,,,,,
GINGER NUTS BISCUTS-STT,Snacks - Biscuits & Cookies,,,16,Carton,220,250,0,,,,,,,Carton,,220,250,0,,,
GIP CONDITIONER 6*850ML,Personal Care - Hair Care,,,16,Piece,350,333,0,,,,,,,Carton,6,2100,2000,0,,,"Name contains ""6*850ML"" — suggests 6 units per pack — pre-filled as L2 qty"
GIP SHAMPOO 6*850ML,Personal Care - Hair Care,,,16,Piece,350,333,40,,,,,,,Carton,6,2100,2000,6.7,,,"Name contains ""6*850ML"" — suggests 6 units per pack — pre-filled as L2 qty"
GIP SHOWER GEL 800ML,Personal Care - Shower Gel,,,16,Piece,350,500,17,,,,,,,,,,,,,,
GIP TREATMENT STT,Other - General Merchandise,,,16,Piece,310,500,0,,,,,,,Carton,,1860,2500,0,,,
GISSAH PERFUME,Personal Care - Perfume,,,16,Carton,1150,1500,2,,,,,,,Carton,,1150,1500,2,,,
Glow Bar Soap 800g,Personal Care - Soap,,,16,Carton,850,1050,0,,,,,,,Carton,,850,1050,0,,,
GLYSOLID,Other - General Merchandise,,,16,Piece,350,450,0,,,,,,,,,,,,,,
GLYSOLID 125PC,Other - General Merchandise,,,16,Piece,175,250,0,,,,,,,,,,,,,,
GLYSOLID 250ML,Other - General Merchandise,,,16,Piece,330,400,1,,,,,,,Carton,,11880,12500,0,,,
GO JUICE 27*200M,Beverages - Juice & Drinks,,,16,Box,630,800,0,,Box,,630,800,0,,,,,,,,
Gofrut Apple Juice 250Ml,Beverages - Juice & Drinks,,,16,Carton,1300,1350,0,,,,,,,Carton,,1300,1350,0,,,
Gofrut Orange Juice 500Ml,Beverages - Juice & Drinks,,,16,Box,600,600,0,,Box,,600,600,0,Carton,,390,500,0,,,
GOLDA BIG ELBOW STT,Staples - Pasta & Noodles,,,16,Piece,105,125,19,,,,,,,Carton,,2093,2500,1,,,
GOLDA CIDI STT,Staples - Pasta & Noodles,,,16,Piece,98,105,0,,,,,,,Carton,,1950,2100,0,,,
GOLDA FUSULI STT,Staples - Pasta & Noodles,,,16,Piece,98,105,0,,,,,,,Carton,,1950,2100,0,,,
GOLDA SMALL ELBOW,Staples - Pasta & Noodles,,,16,Piece,98,105,4,,,,,,,Carton,,1950,2100,0.2,,,
GOLDEN BISCUIT NDO,Snacks - Biscuits & Cookies,,,16,Packet,240,300,0,,Packet,,240,300,0,,,,,,,,
GOLDEN DROP 10LTR SB3,Other - General Merchandise,,,16,Piece,2270,3200,1,,,,,,,,,,,,,,
GOLDEN DROP 10LTR STT,Other - General Merchandise,,,16,Jerry Can,2270,6200,0,,,,,,,Jerry Can,,2270,6200,0,,,
GOLDEN DROP 20LTR STT,Other - General Merchandise,,,16,Jerry Can,4450,6200,0,,,,,,,Jerry Can,,4450,6200,0,,,
Golden Fry Vegetable Cooking Oil,Cooking Oil,,,16,Piece,900,1000,0,,,,,,,Carton,,5400,6000,0,,,
Golden Fry Vegetable Cooking Oil 10L,Cooking Oil,,,16,Jerry Can,2200,3500,0,,,,,,,Jerry Can,,2200,3500,0,,,
Golden Fry Vegetable Cooking Oil 5L,Cooking Oil,,,16,Piece,1300,2500,0,,,,,,,,,,,,,,
GOLDEN HARVEST 5LT SB3,Other - General Merchandise,,,16,Carton,8200,9000,0,,,,,,,Carton,,8200,9000,0,,,
GOLDEN HARVT SUNFL 3*6,Other - General Merchandise,,,16,Piece,1050,1083,0,,,,,,,Carton,,6300,6500,0,,,
GOLDEN HARVT SUNFLO 4*5L,Other - General Merchandise,,,16,Piece,1500,2375,0,,,,,,,Carton,4,6000,9500,0,,,"Name contains ""4*5L"" — suggests 4 units per pack — pre-filled as L2 qty"
Golden Mark Vegetable Cooking Oil 1L,Cooking Oil,,,16,Piece,347,550,0,,,,,,,Carton,,4165,62400,0,,,
GOLDEN VALLEY 420G,Other - General Merchandise,,,16,Piece,58,75,0,,,,,,,Carton,,1400,1800,0,,,
GOMBA 20*100PCS-STT,Other - General Merchandise,,,16,Piece,122,90,0,,,,,,,Carton,,2450,1600,0,,,
GOODY MILK BISC 72*4PCS,Dairy - Milk,,,16,Carton,250,300,0,,,,,,,Carton,4,250,300,0,,,"Name contains ""4PCS"" — suggests 4 units per pack — pre-filled as L2 qty"
GOODY SHORT CAKE 72*4PCS,Snacks - Cakes & Donuts,,,16,Carton,250,300,0,,,,,,,Carton,4,250,300,0,,,"Name contains ""4PCS"" — suggests 4 units per pack — pre-filled as L2 qty"
Gram Flour Bajia 1Kg,Staples - Flour & Ugali,,,0,Bale,6960,8000,0,,,,,,,Bale,,6960,8000,0,,,
Gram Flour Bajia 2Kg,Staples - Flour & Ugali,,,0,Bale,6960,8000,0,,,,,,,Bale,,6960,8000,0,,,
GRAND CAKE 12*12,Snacks - Cakes & Donuts,,,16,Box,225,250,0,,Box,,225,250,0,Carton,,2700,3000,0,,,
H W M 25KG,Other - General Merchandise,,,16,Bag,14000,15000,0,,,,,,,Bag,,14000,15000,0,,,
Haano Milk Biscuits,Dairy - Milk,,,16,Box,420,480,0,,Box,,420,480,0,,,,,,,,
HABATU SOWDA 12*60ML,Incense & Fragrance,,,0,Dozen (12),750,1250,0,,Dozen (12),12,750,1250,0,,,,,,,,"Name contains ""12*60ML"" — suggests 12 units per pack — pre-filled as L1 qty"
HABIB OATS 12*KG,Breakfast - Cereals,,,0,Piece,275,417,3,,,,,,,Carton,,3300,5000,0.3,,,
Habo Tuna 185g,Canned & Preserved - Fish,,,16,Piece,179,250,0,,,,,,,Carton,,4300,4500,0,,,
Habo Tuna 95g,Canned & Preserved - Fish,,,16,Piece,121,115,0,,,,,,,Carton,,5800,5500,0,,,
HACKER INSEC FAMILY 48P,Cleaning - Insecticide,,,16,Piece,230,350,0,,,,,,,Carton,,11040,15000,0,,,
HADAY DARK SAUSE 500ML,Condiments - Sauces,,,16,Piece,210,250,12,,,,,,,Carton,,2520,2500,1,,,
HAIR TREATMENT-STT,Personal Care - Hair Care,,,16,Carton,4020,2600,0,,,,,,,Carton,,4020,2600,0,,,
HALISI 4*5LTR,Other - General Merchandise,,,16,Piece,1082,1125,0,,,,,,,Carton,4,4330,4500,0,,,"Name contains ""4*5L"" — suggests 4 units per pack — pre-filled as L2 qty"
HALISI 6*3LTR,Other - General Merchandise,,,16,Piece,672,1500,0,,,,,,,Carton,6,4030,5500,0,,,"Name contains ""6*3L"" — suggests 6 units per pack — pre-filled as L2 qty"
HALWA RICE25KG SB3,Staples - Rice,,,16,Bag,3460,3500,0,,,,,,,Bag,,3460,3500,0,,,
HALWO RICE 25KG STT,Staples - Rice,,,16,Bag,3340,3500,0,,,,,,,Bag,,3340,3500,0,,,
HAMDI RICE 25KG STT,Staples - Rice,,,16,Bag,2550,3000,0,,,,,,,Bag,,2550,3000,0,,,
HAMI FOOD UJI 3KG,Breakfast - Cereals,,,16,Piece,220,400,0,,,,,,,,,,,,,,
HAMZA GOLD 25K SB3,Staples - Flour & Ugali,,,0,Bag,3080,4000,0,,,,,,,Bag,,3080,4000,0,,,
Hamza Long Grain Rice 25Kg,Staples - Rice,,,0,Kilogram,157,200,229.7,,,,,,,Bag,,3930,5000,58,,,
HANAN ALMINUIM FOIL 45CM*5M,Baby Care - Infant Formula,,,16,Piece,114,150,14,,,,,,,Carton,,4100,5000,0.4,,,
Hanan Baby Wipes 24 Pack,Baby Care - Infant Formula,,,16,Piece,125,150,113,,,,,,,Carton,,3000,3500,4.7,,,
HANAN CLI FIL 30*300M ST,Baby Care - Infant Formula,,,16,Piece,606,867,105,,,,,,,Carton,,9095,13000,7,,,
HANAN CLING 30CM  30M,Baby Care - Infant Formula,,,16,Piece,104,139,9,,,,,,,Carton,,3750,5000,0.3,,,
HANAN FOIL 45*30M STT,Baby Care - Infant Formula,,,16,Piece,658,750,23,,,,,,,Carton,,7900,8100,1.9,,,
HANAN FOIL 45*90M STT,Baby Care - Infant Formula,,,16,Piece,1380,1583,38,,,,,,,Carton,,16560,19000,3.2,,,
Hanan Long Grain Rice 25Kg,Staples - Rice,,,0,Bag,2970,3950,0,,,,,,,Bag,,2970,3950,0,,,
